russian_name	english_name	shop_link	min_players	max_players	min_ideal_players	max_ideal_players	min_play_time	max_play_time	rule_time	min_age	year	genres	complexity	description	owner	note	photo_link	tesera_link
Корни	Root	https://www.crowdgames.ru/collection/korni	2	6	3	4	60	90	20	10	2018	война	3,8	Decide the fate of the forest as woodland factions fight for contrasting goals	bernarda	Вместе со всеми дополнениями в двух коробках		https://tesera.ru/game/root/
Корова 006	6 nimmt!	https://hobbygames.ru/korova-006	2	10	4	6	30	60	7	10	1994	карты	1,19	Choose sequential cards for rows simultaneously, but avoid adding the 6th card!	SCHOOL 21			https://tesera.ru/game/6-nimmt/
Космические дальнобойщики (+дополнение)	Galaxy Trucker	https://gaga.ru/game/kosmicheskie-dalnoboyschiki/	2	4	3	4	20	30	15	8	2021	приключения	2,29	Have fun watching fellow players' ships explode as you fly on to victory.	bernarda	В двух коробках. Вместе с дополнением "Полёт продолжается" 		https://tesera.ru/game/1galaxy-trucker/
Космобаза	Space Base	https://www.lavkaigr.ru/shop/strategicheskie/kosmobaza/	2	5	3	4	30	75	20	10	2018	азартные	2,12	Amass spaceships for your fleet as you roll your way to domination	SCHOOL 21			https://tesera.ru/game/space-base/
Крокодил			3	inf									1		sgoldenf			
Лаборатория	Potion Explosion	https://hobbygames.ru/laboratoriya-2.0	2	4	2	4	30	60	6	8	2015	логические	1,78	Collect and combine ingredients to mix potions and try to become Student of The Year	SCHOOL 21			https://tesera.ru/game/potion-explosion/
Маленький мир	Small World	https://hobbygames.ru/small-world	2	5	3	5	40	90	20	8	2009	война	2,35	Control one fantasy race after another to expand quickly throughout the land	SCHOOL 21			https://tesera.ru/game/small-world/
Маленький мир: Небесные острова	Small World: Sky Islands	https://hobbygames.ru/small-world-nebesnie-ostrova	3	6	4	5	40	90	20	8	2017	война	2,44	Control one fantasy race after another to expand quickly throughout the land and the sky	SCHOOL 21			https://tesera.ru/game/small-world-sky-islands/
Маленький мир: Подземный мир	Small World Underground	https://hobbygames.ru/smallworld-podzemnij-mir	2	5	3	5	40	90	20	10	2011	война	2,59	Mummies, Mudmen and more! Battle it out with new maps, new races, and new powers.	sommerha			https://tesera.ru/game/small-world-underground/
Манчкин	Munchkin	https://hobbygames.ru/manchkin	3	6	4	5	30	90	15	12	2001	приключения	1,81	Attack and loot in this humorous, card-based dungeon crawler.	sgoldenf			https://tesera.ru/game/munchkin/
Манчкин	Munchkin	https://hobbygames.ru/manchkin	3	6	4	5	30	90	15	12	2001	приключения	1,81	Attack and loot in this humorous, card-based dungeon crawler.		с дополнением "Дикий Топор"		
Манчкин: Ктулху		https://hobbygames.ru/manchkin-ktulhu	3	6	4	5	30	90	20	12	2007	приключения	1,72	Attack and loot in this humorous, card-based mind bender from beyond	sjoannie			https://tesera.ru/game/munchkin-cthulhu/
Марш муравьев		https://www.mosigra.ru/marsh-muravyev/	1	5	3	4	60	90	15	12	2015	война	2,68	Grow and mutate your colony of ants to become king of the anthill.	bernarda			https://tesera.ru/game/March-of-the-Ants/
МЕМО. Учим Английский - Животные		https://znaemigraem.ru/catalog/memo-uchim-angliyskiy-zhivotnye/	2	5	3	4	15	20	2	5		логические	1	познавательная игра для развития памяти и внимания	SCHOOL 21			
МЕМО. Учим Английский - Кухня		https://znaemigraem.ru/catalog/memo-uchim-angliyskiy-kukhnya/	2	5	3	4	15	20	2	5		логические	1	познавательная игра для развития памяти и внимания	SCHOOL 21			
МЕМО. Учим Английский - Продукты		https://znaemigraem.ru/catalog/memo-uchim-angliyskiy-produkty/	2	5	3	4	15	20	2	5		логические	1	познавательная игра для развития памяти и внимания	SCHOOL 21			
МЕМО. Учим Английский - Транспорт		https://znaemigraem.ru/catalog/memo-uchim-angliyskiy-transport/	2	5	3	4	15	20	2	5		логические	1	познавательная игра для развития памяти и внимания	SCHOOL 21			
Мемы: Весело и в точку!		https://hobbygames.ru/memi-veselo-i-v-tochku	3	inf	5	8	15	60	1	18	2022	компанейские	1	Players pick images for captions in an effort to make the funniest memes.	SCHOOL 21	https://t.me/veseloivtochkuBot		https://tesera.ru/game/memy-veselo-i-v-tochku/
МикроМакро: Город улик  	MicroMacro: Crime City	https://hobbygames.ru/mikromakro-gorod-ulik	1	4	2	3	15	45	2	14	2021	логические	1,11	Find the small traces to solve the big cases	SCHOOL 21			https://tesera.ru/game/micromacro-crime-city/
Нечто из глубокой бездны	Stay Away	https://hobbygames.ru/nechto-iz-glubokoj-bezdni	4	12	6	8	15	60	7	12	2014	компанейские	1,25	Swap cards and seats to find the Thing before everyone is infected	bernarda			https://tesera.ru/game/Stay-Away/
Нечто из глубокой бездны	Stay Away	https://hobbygames.ru/nechto-iz-glubokoj-bezdni	4	12	6	8	15	60	7	12	2014	компанейские	1,25	Swap cards and seats to find the Thing before everyone is infected	sjoannie			https://tesera.ru/game/Stay-Away/
Нидавеллир	Nidavellir	https://evrikus.ru/catalog/good_71684355664/	2	5	3	5	30	45	10	10	2020	карты	2,11	Assemble and prepare a formidable crew of dwarfs to fight the mighty Fafnir!	SCHOOL 21			https://tesera.ru/game/nidavellir/
Нью-Анджелес		https://hobbyworld.ru/news/nju-andzheles	4	6	5	6	120	240	15	14	2016	экономика	3,22	Play as corporations profiteering off crises, while negotiating to not lose it all.	oemory			https://tesera.ru/game/1new-angeles/
Пандемия: World of Warcraft	Pandemic: World of Warcraft	https://hobbygames.ru/pandemija-world-of-warcraft	1	5	2	4	45	60	10	14	2021	война	2,22	Survive against hordes of undead on Azeroth to face off against the Lich King	SCHOOL 21			https://tesera.ru/game/pandemic-world-of-warcraft/
Покерный набор			2	10														
Покорение Марса	Terraforming Mars	https://www.lavkaigr.ru/shop/strategicheskie/pokorenie-marsa/	1	5	2	4	120	180	15	12	2016	экономика	3,26	Compete with rival CEOs to make Mars habitable and build your corporate empire.	SCHOOL 21	Добавлены 3 дополнения.		https://tesera.ru/game/terraforming-mars/
Покорение Марса: колонии			1	5	2	4	180	240	15	12	2018	экономика	3,26	Compete with rival CEOs to make Mars habitable and build your corporate empire.	mbulwer	Это дополнение для "Покорение Марса". Смешано с базой.		
Покорение Марса: кризис			1	5	2	4	180	240	15	12	2019	экономика	3,26	Compete with rival CEOs to make Mars habitable and build your corporate empire.	mbulwer	Это дополнение для "Покорение Марса". Смешано с базой.		
Покорение Марса: проект Венера			1	5	2	4	180	240	15	12	2017	экономика	3,26	Compete with rival CEOs to make Mars habitable and build your corporate empire.	mbulwer	Это дополнение для "Покорение Марса". Смешано с базой.		
Покорение Марса: Экспедиция Арес	Terraforming Mars: Ares Expedition	https://www.lavkaigr.ru/shop/kartochnye/pokorenie-marsa-ekspediciya-ares/	2	4	3	3	45	60	20	12	2021	экономика	2,92	Return to Mars and terraform it once again, this time using only cards	bernarda			https://tesera.ru/game/terraforming-mars-ares-expedition/
Рик и Морти: Всмортить всё	Rick and Morty: Total Rickall Card Game		2	5	2	5	20	40	10	14	2016	компанейские	1,5	Cooperative card game where you try to kill the parasites to safe the real characters				https://tesera.ru/game/Total-Rickall/
Свинтус злоключения 		https://hobbygames.ru/svintus-zlokljuchenija	2	10	3	6	15	20	5	6	2019	компанейские	1,22		sjoannie			https://tesera.ru/game/svintus-zloklyucheniya/
Селестия	Celestia		2	6	3	6	30	40	10	8	2015	приключения	1,33	Players take turns as pilot and press their luck to win the greatest treasures!	SCHOOL 21			https://tesera.ru/game/celestia/
Сквозь века: Новая история цивилизации	Through the Ages: A New Story of Civilization	https://gaga.ru/game/through-the-ages/	2	4	2	4	180	240	25	14	2015	экономика	4,44	Rewrite history as you build up your civilization in this epic card drafting game!	SCHOOL 21			https://tesera.ru/game/through-ages-new-story-civilization/
Тайны Аркхема	Mythos Tales	https://hobbygames.ru/tajni-arkhjema	1	8	3	5	60	120	10	13	2016	приключения	2,12	Your team investigates horrors in Arkham, then gets quizzed on the results	SCHOOL 21			https://tesera.ru/game/mythos-tales/
Твистер	Twister		2	4	3	4	10	15	5	6	1966	компанейские	1,08	Left foot Red! The classic physical movement party game that ties you up in knots	minellaa			https://tesera.ru/game/twister/
Трамвай смерти	Trial by Trolley		3	13	5	7	30	90	5	14	2020	компанейские	1,04	Whose life (or death) do you value more? A game of difficult moral decisions.	SCHOOL 21			https://tesera.ru/game/trial-by-trolley/
Ужас Аркхэма: Карточная игра	Arkham Horror: The Card Game	https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra	1	2	2	2	60	120	30	14	2017	приключения	3,53	Investigate the horrors of Arkham while courting cosmic doom	Ksenia Zinovieva			https://tesera.ru/game/arkham-horror-the-card-game/
Уно 	Uno	https://gaga.ru/gaga/files/pdf/rules/ru/28.pdf	2	10	4	6	25	30	5	6	1971	компанейские	1,11	Get rid of your cards first, but don't forget to say "UNO!"	elenemar			https://tesera.ru/game/uno/
Цитадели	Citadels	https://hobbygames.ru/citadeli-classic	2	7	4	7	20	60	15	10	2000	карты	2,05	Bishop, warlord, thief, king: change roles, build your city and hinder your rivals.	fromorig			https://tesera.ru/game/citadels/
Цитадели Делюкс		https://hobbygames.ru/citadeli-deljuks	2	8	4	7	30	60	15	10	2016	карты	2,04	Thief? King? Warlord? Draft the best temporary roles in this kingdom building game	twitchfi			https://tesera.ru/game/Citadels-2016/
Эволюция: Естественный отбор	Evolution	http://rightgames.ru/games/evolyuciya-estestvennyy-otbor	2	6	4	4	50	70	7	12	2014	карты	2,43	Adapt in an ever-changing ecosystem where food is scarce and predators lurk	bernarda	вместе с дополнением "Полёт"		https://tesera.ru/game/Survival-of-the-Fittest/
Энергосеть	Power Grid	https://hobbygames.ru/jenergoset-novaja-redakcija	2	6	4	5	90	120	20	12	2004	экономика	3,25	Bid, network, and manage resources in a race to supply the most cities with power	SCHOOL 21			https://tesera.ru/game/power-grid/
Эпичные схватки боевых магов: Битва на горе Черепламени	Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre	https://hobbygames.ru/jepichnie-shvatki-boevih-magov-bitva-na-gore-chereplameni	2	6	3	5	20	40	10	16	2012	карты	1,57	Fling crazily named and overpowered spells around to be the Last Wizard Standing	sgoldenf			https://tesera.ru/game/Epic-Spell-Wars-of-the-Battle-Wizard-Duel-at-Mt-Skullzfyre/
Dungeons & Dragons: Стартовый набор	Dungeons & Dragons Roleplaying Game Starter Set 5 ed	https://hobbygames.ru/dungeons-and-dragons-startovij-nabor	2	6	4	6	60		60	12	2019	приключения						https://tesera.ru/game/dungeons-dragons-starter-set-fantasy-roleplaying-fundamentals/
Junk Art		https://vk.com/@geekmediaru-obzor-junk-art	2	6	4	5	30	60	5	8	2016	компанейские	1,21	Travel the world and create balanced masterpieces from eccentric pieces.	bernarda			https://tesera.ru/game/junk-art/
Keyflower		https://www.mosigra.ru/keyflower-na-russkom/rules/	2	6	2	6	90	120	15	12	2012	экономика	3,34	Compete in a unique auction system to build the most prosperous village.	wylisjef			https://tesera.ru/game/Keyflower/
ProfIT: игра в IT-ассоциации		https://drive.google.com/file/d/1vz1ueIQs4t2SyyYX-Wm-cQqxwFqe3Fug/view	2	inf	5	12	30	90	5	7		компанейские	1	презентовать IT-термин из выбранной карты так, чтобы кто-то из игроков его разгадал.	SCHOOL 21			
Unmatched: Туман над Мостовой	Unmatched: Cobble & Fog	https://gaga.ru/game/unmatched-tuman-nad-mostovoj/	2	4	2	2	20	40	7	9	2020	война	1,96	Heroes from Victorian-era literature join a skirmish to the death.	SCHOOL 21			https://tesera.ru/game/UnmatchedCF/
